Date,Adj Close,Close,High,Low,Open,Volume
,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC
2025-12-29,23474.349609375,23474.349609375,23531.01953125,23397.51953125,23414.6796875,6527530000
2025-12-30,23419.080078125,23419.080078125,23521.05078125,23414.830078125,23465.669921875,6769300000
2025-12-31,23241.990234375,23241.990234375,23445.259765625,23237.779296875,23420.849609375,5895130000
2026-01-02,23235.630859375,23235.630859375,23585.9609375,23119.490234375,23481.490234375,7331460000
2026-01-05,23395.8203125,23395.8203125,23476.509765625,23332.23046875,23449.669921875,8737320000
2026-01-06,23547.169921875,23547.169921875,23559.150390625,23389.5703125,23446.9609375,9012640000
2026-01-07,23584.279296875,23584.279296875,23723.369140625,23504.2109375,23544.890625,8396920000
2026-01-08,23480.01953125,23480.01953125,23558.169921875,23353.4609375,23548.880859375,7723140000
2026-01-09,23671.349609375,23671.349609375,23721.150390625,23426.48046875,23496.2109375,8124420000
2026-01-12,23733.900390625,23733.900390625,23804.0390625,23562.970703125,23576.880859375,8707170000
2026-01-13,23709.869140625,23709.869140625,23813.30078125,23607.58984375,23735.119140625,9416400000
2026-01-14,23471.75,23471.75,23590.19921875,23306.66015625,23563.919921875,12165220000
2026-01-15,23530.01953125,23530.01953125,23721.109375,23502.1796875,23693.970703125,9740630000
2026-01-16,23515.390625,23515.390625,23664.259765625,23446.810546875,23639.689453125,9514500000
2026-01-20,22954.3203125,22954.3203125,23236.05078125,22916.830078125,23142.689453125,9469480000
2026-01-21,23224.8203125,23224.8203125,23383.240234375,22927.880859375,23017.6796875,9162740000
2026-01-22,23436.01953125,23436.01953125,23503.16015625,23335.150390625,23440.7109375,9034850000
2026-01-23,23501.240234375,23501.240234375,23610.740234375,23374.259765625,23440.919921875,8228760000
2026-01-26,23601.359375,23601.359375,23688.939453125,23486.080078125,23529.279296875,7505250000
2026-01-27,23817.099609375,23817.099609375,23865.259765625,23694.380859375,23734.75,8026050000
2026-01-28,23857.44921875,23857.44921875,23988.26953125,23775.490234375,23965.109375,8151580000
2026-01-29,23685.119140625,23685.119140625,23840.55078125,23232.779296875,23830.919921875,8782210000
2026-01-30,23461.8203125,23461.8203125,23662.25,23351.55078125,23578.9609375,9255930000
2026-02-02,23592.109375,23592.109375,23686.830078125,23356.400390625,23370.5390625,8882530000
2026-02-03,23255.189453125,23255.189453125,23691.599609375,23027.2109375,23667.439453125,10306320000
2026-02-04,22904.580078125,22904.580078125,23270.0703125,22684.509765625,23217.01953125,10862000000
2026-02-05,22540.58984375,22540.58984375,22841.279296875,22461.140625,22604.01953125,10109230000
2026-02-06,23031.2109375,23031.2109375,23088.4609375,22586.400390625,22625.30078125,9054400000
2026-02-09,23238.669921875,23238.669921875,23314.669921875,22878.369140625,22952.240234375,8174050000
2026-02-10,23102.470703125,23102.470703125,23310.73046875,23089.099609375,23271.220703125,8513440000
2026-02-11,23066.470703125,23066.470703125,23320.619140625,22902.009765625,23278.2890625,9927010000
2026-02-12,22597.150390625,22597.150390625,23161.599609375,22548.01953125,23142.869140625,8855290000
2026-02-13,22546.669921875,22546.669921875,22742.060546875,22402.380859375,22561.4609375,7964830000
2026-02-17,22578.380859375,22578.380859375,22690.830078125,22256.759765625,22394.759765625,7654300000
2026-02-18,22753.630859375,22753.630859375,22895.9609375,22597.76953125,22629.849609375,7705590000
2026-02-19,22682.73046875,22682.73046875,22768.830078125,22583.609375,22639.880859375,6984780000
2026-02-20,22886.0703125,22886.0703125,22948.869140625,22539.05078125,22542.279296875,8063070000
2026-02-23,22627.26953125,22627.26953125,22893.220703125,22547.119140625,22840.970703125,8263920000
2026-02-24,22863.6796875,22863.6796875,22895.48046875,22528.259765625,22641.599609375,7932270000
2026-02-25,23152.080078125,23152.080078125,23169.6796875,23004.689453125,23005.009765625,8427450000
2026-02-26,22878.380859375,22878.380859375,23109.4609375,22670.80078125,23100.580078125,9033470000
2026-02-27,22668.2109375,22668.2109375,22735.779296875,22538.30078125,22615.4296875,9552610000
2026-03-02,22748.859375,22748.859375,22802.80078125,22306.080078125,22322.119140625,8303030000
2026-03-03,22516.689453125,22516.689453125,22601.58984375,22124.779296875,22292.369140625,9705500000
2026-03-04,22807.48046875,22807.48046875,22891.880859375,22570.669921875,22620.890625,10918410000
2026-03-05,22748.990234375,22748.990234375,22877.01953125,22500.2890625,22707.470703125,10994660000
2026-03-06,22387.6796875,22387.6796875,22614.41015625,22328.130859375,22421.169921875,9300220000
